Movie Title,Release Date,Wikipedia URL,Genre,Cast (1),Cast (2),Cast (3),Cast (4),Cast (5),Budget ,Revenue,profit,director,return on investment,year
Chronicle,03-02-2012,https://en.wikipedia.org/wiki/Chronicle_(film),Sci-Fi,Dane DeHaan,Michael B. Jordan,Alex Russell,Michael Kelly,unknown,12000000,126600000,114600000,Josh Trank,955.00%,2012
Cloud Atlas,26-10-2012,https://en.wikipedia.org/wiki/Cloud_Atlas_(film),Drama,Tom Hanks,Jim Sturgess,David Gyasi,Jim Broadbent,Ben Whishaw,128500000,130500000,2000000,Tom Tykwer,1.56%,2012
Cloudy with a Chance of Meatballs 2,27-09-2013,https://en.wikipedia.org/wiki/Cloudy_with_a_Chance_of_Meatballs_2,Family,Anna Faris,Bill Hader,Andy Samberg,Kristen Schaal,James Caan,78000000,274300000,196300000,Cody Cameron,251.67%,2013
Concussion,25-12-2015,https://en.wikipedia.org/wiki/Concussion_(2015_film),Drama,Will Smith,Alec Baldwin,Gugu Mbatha-Raw,Albert Brooks,Paul Reiser,57000000,50300000,-6700000,Peter Landesman,-11.75%,2015
Creed,25-11-2015,https://en.wikipedia.org/wiki/Creed_(film),Drama,Michael B. Jordan,Sylvester Stallone,Tessa Thompson,Graham McTavish,Tony Bellew,40000000,173600000,133600000,Ryan Coogler,334.00%,2015
Criminal,15-04-2016,https://en.wikipedia.org/wiki/Criminal_(2016_film),Action,Kevin Costner,Gary Oldman,Tommy Lee Jones,Alice Eve,Gal Gadot,31500000,35600000,4100000,Ariel Vromen,13.02%,2016
Crimson Peak,16-10-2015,https://en.wikipedia.org/wiki/Crimson_Peak,Horror,Mia Wasikowska,Tom Hiddleston,Charlie Hunnam,Jessica Chastain,Jim Beaver,55000000,74700000,19700000,Guillermo del Toro,35.82%,2015
Daddy's Home,25-12-2015,https://en.wikipedia.org/wiki/Daddy%2527s_Home_(film),Comedy,Will Ferrell,Mark Wahlberg,Linda Cardellini,unknown,unknown,69000000,240400000,171400000,Sean Anders,248.41%,2015
Danny Collins,20-03-2015,https://en.wikipedia.org/wiki/Danny_Collins_(film),Comedy,Al Pacino,Annette Bening,Jennifer Garner,Bobby Cannavale,Christopher Plummer,10000000,8200000,-1800000,Dan Fogelman,-18.00%,2015
Dark Shadows,11-05-2012,https://en.wikipedia.org/wiki/Dark_Shadows_(film),Comedy,Johnny Depp,Michelle Pfeiffer,Helena Bonham Carter,Eva Green,Jackie Earle Haley,150000000,245500000,95500000,Tim Burton,63.67%,2012
Dark Skies,22-02-2013,https://en.wikipedia.org/wiki/Dark_Skies_(film),Horror,Keri Russell,Josh Hamilton,Dakota Goyo,unknown,unknown,3500000,26400000,22900000,Scott Charles Stewart,654.29%,2013
Dawn of the Planet of the Apes,26-06-2014,https://en.wikipedia.org/wiki/Dawn_of_the_Planet_of_the_Apes,Action,Andy Serkis,Gary Oldman,Jason Clarke,Kodi Smit-McPhee,Keri Russell,235000000,710600000,475600000,Matt Reeves,202.38%,2014
Dead Man Down,08-03-2013,https://en.wikipedia.org/wiki/Dead_Man_Down,Action,Colin Farrell,Noomi Rapace,Dominic Cooper,Terrence Howard,Wade Barrett,30000000,18100000,-11900000,Niels Arden Oplev,-39.67%,2013
Deadpool,08-02-2016,https://en.wikipedia.org/wiki/Deadpool_(film),Action,Ryan Reynolds,Gina Carano,T. J. Miller,Ed Skrein,Morena Baccarin,58000000,782600000,724600000,Tim Miller,1249.31%,2016
Declaration of War,27-01-2012,https://en.wikipedia.org/wiki/Declaration_of_War_(film),Romance,Valérie Donzelli ,unknown,unknown,unknown,unknown,1500000,6500000,5000000, Valérie Donzelli,333.33%,2012
Deliver Us from Evil,02-07-2014,https://en.wikipedia.org/wiki/Deliver_Us_from_Evil_(2014_film),Horror,Eric Bana,Édgar Ramírez,Olivia Munn,Joel McHale,unknown,30000000,87900000,57900000,Scott Derrickson,193.00%,2014
Despicable Me 2,20-06-2013,https://en.wikipedia.org/wiki/Despicable_Me_2,Comedy,Steve Carell,Kristen Wiig,Miranda Cosgrove,Dana Gaier,Elsie Fisher,76000000,970800000,894800000,Chris Renaud,1177.37%,2013
Devil's Due,17-01-2014,https://en.wikipedia.org/wiki/Devil%2527s_Due_(film),Horror,Allison Miller,Zach Gilford,Sam Anderson,Aimee Carrero,Vanessa Ray,7000000,36900000,29900000,Matt Bettinelli-Olpin,427.14%,2014
Diary of a Wimpy Kid: Dog Days,03-08-2012,https://en.wikipedia.org/wiki/Diary_of_a_Wimpy_Kid:_Dog_Days_(film),Comedy,Zachary Gordon,Robert Capron,Rachael Harris,Devon Bostick,Steve Zahn,22000000,77100000,55100000,David Bowers,250.45%,2012
Divergent,18-03-2014,https://en.wikipedia.org/wiki/Divergent_(film),Sci-Fi,Shailene Woodley,Kate Winslet,Theo James,Ansel Elgort,ZoÃ« Kravitz,85000000,288900000,203900000,Neil Burger,239.88%,2014
Django Unchained,25-12-2012,https://en.wikipedia.org/wiki/Django_Unchained,Action,Christoph Waltz,Jamie Foxx,Leonardo DiCaprio,Samuel L. Jackson,Bruce Dern,100000000,425400000,325400000,Quentin Tarantino,325.40%,2012
Dolphin Tale 2,12-09-2014,https://en.wikipedia.org/wiki/Dolphin_Tale_2,Family,Winter,Hope,Nathan Gamble,Harry Connick,Jr.,36000000,57800000,21800000,Charles Martin Smith,60.56%,2014
Don't Breathe,26-08-2016,https://en.wikipedia.org/wiki/Don%2527t_Breathe_(2016_film),Thriller,Dylan Minnette,Stephen Lang,Daniel Zovatto,unknown,unknown,9900000,28300000,18400000,Fede Alvarez,185.86%,2016
Dr. Seuss' The Lorax,02-03-2012,https://en.wikipedia.org/wiki/The_Lorax_(film),Family,Danny DeVito,Zac Efron,Taylor Swift,Ed Helms,Rob Riggle,70000000,348800000,278800000,Chris Renaud,398.29%,2012
Dracula Untold,10-10-2014,https://en.wikipedia.org/wiki/Dracula_Untold,Drama,Luke Evans,Sarah Gadon,William Houston,Dominic Cooper,Samantha Barks,70000000,217100000,147100000,Gary Shore,210.14%,2014
Draft Day,07-04-2014,https://en.wikipedia.org/wiki/Draft_Day,Drama,Kevin Costner,Jennifer Garner,Denis Leary,Frank Langella,Tom Welling,25000000,29500000,4500000,Ivan Reitman,18.00%,2014
Dragon Blade,18-02-2015,https://en.wikipedia.org/wiki/Dragon_Blade_(film),Action,Jackie Chan,Choi Siwon,John Cusack,Adrien Brody,James Lee Guy,65000000,120000000,55000000,Daniel Lee,84.62%,2015
Dumb and Dumber To,14-11-2014,https://en.wikipedia.org/wiki/Dumb_and_Dumber_To,Comedy,Jim Carrey,Jeff Daniels,Kathleen Turner,Laurie Holden,unknown,50000000,169800000,119800000,Peter Farrelly,239.60%,2014
Earth to Echo,14-06-2014,https://en.wikipedia.org/wiki/Earth_to_Echo,Sci-Fi,Astro,Teo Halm,Reese Hartwig,Ella Wahlestedt,unknown,13000000,45300000,32300000,Dave Green,248.46%,2014
Eddie the Eagle,26-02-2016,https://en.wikipedia.org/wiki/Eddie_the_Eagle_(film),Drama,Taron Egerton,Christopher Walken,Hugh Jackman,unknown,unknown,23000000,46200000,23200000,Dexter Fletcher,100.87%,2016
Edge of Tomorrow,28-05-2014,https://en.wikipedia.org/wiki/Edge_of_Tomorrow_(film),Action,Tom Cruise,Emily Blunt,unknown,unknown,unknown,178000000,370500000,192500000,Doug Liman,108.15%,2014
Elysium,09-08-2013,https://en.wikipedia.org/wiki/Elysium_(film),Sci-Fi,Matt Damon,Jodie Foster,Sharlto Copley,Wagner Moura,Alice Braga,115000000,286100000,171100000,Neill Blomkamp,148.78%,2013
Embrace of the Serpent,15-05-2015,https://en.wikipedia.org/wiki/Embrace_of_the_Serpent,Adventure,Jan Bijvoet,Nilbio Torres,Antonio BolÃ­var,unknown,unknown,1400000,2800000,1400000,Ciro Guerra,100.00%,2015
End of Watch,21-09-2012,https://en.wikipedia.org/wiki/End_of_Watch,Action,Jake Gyllenhaal,Michael Peña,Anna Kendrick,Frank Grillo,America Ferrera,7000000,48100000,41100000,David Ayer,587.14%,2012
Enough Said,20-09-2013,https://en.wikipedia.org/wiki/Enough_Said_(film),Comedy,James Gandolfini,Julia Louis-Dreyfus,Toni Collette,Catherine Keener,Ben Falcone,8000000,25300000,17300000,Nicole Holofcener,216.25%,2013
